Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2010","2010","7021","Annual value","","91.29","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2011","2011","7021","Annual value","","105.86","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2012","2012","7021","Annual value","","113.05","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2013","2013","7021","Annual value","","107.91","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2014","2014","7021","Annual value","","100.29","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2015","2015","7021","Annual value","","100.96","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2016","2016","7021","Annual value","","98.75","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2017","2017","7021","Annual value","","100.39","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2018","2018","7021","Annual value","","101.96","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2019","2019","7021","Annual value","","112.31","I","Imputed value"
"PP","Producer Prices","642","Romania","5539","Producer Price Index (2014-2016 = 100)","F2051","Agriculture","2020","2020","7021","Annual value","","119.11","I","Imputed value"
